,Stock1,Stock2
0,ACN,BLK
1,ACN,CMI
2,ACN,INTU
3,ACN,ISRG
4,ACN,LH
5,ACN,LIN
6,ACN,MA
7,ADBE,APD
8,ADBE,CHTR
9,ADBE,WST
10,APD,DHR
11,APD,FB
12,APD,CRM
13,ALGN,NSC
14,ALGN,URI
15,ALGN,ZBRA
16,AMGN,HUM
17,ANSS,BIO
18,ANSS,CHTR
19,ANSS,ROK
20,ANSS,TMO
21,ANSS,TYL
22,ADSK,ROK
23,ADSK,SNPS
24,ADSK,TMO
25,ADSK,UNH
26,BIO,CHTR
27,BIO,COST
28,BIO,FB
29,BIO,MSFT
30,BIO,MPWR
31,BIO,NVDA
32,BIO,ROK
33,BIO,NOW
34,BIO,SNPS
35,BIO,UNH
36,BIO,WST
37,AVGO,CMI
38,AVGO,EL
39,AVGO,INTU
40,AVGO,ZBRA
41,CHTR,COST
42,CHTR,DHR
43,CHTR,FB
44,CHTR,MSFT
45,CHTR,NVDA
46,CHTR,ROK
47,CTAS,FB
48,CTAS,ISRG
49,STZ,SYK
50,COST,GWW
51,COST,ISRG
52,COST,SHW
53,CMI,IDXX
54,CMI,INTU
55,DHR,FB
56,DHR,ISRG
57,DHR,POOL
58,DHR,UNH
59,DE,EL
60,DE,LH
61,DE,NSC
62,DE,SIVB
63,DE,URI
64,DXCM,DPZ
65,DPZ,EQIX
66,EL,INTU
67,EL,LH
68,EL,NSC
69,EL,PH
70,EL,SIVB
71,EL,URI
72,EL,ZBRA
73,FB,HD
74,FB,ISRG
75,FB,LIN
76,FB,MA
77,FB,POOL
78,FB,SHW
79,FB,UNH
80,FB,V
81,FB,WST
82,GS,WAT
83,GWW,ISRG
84,GWW,SHW
85,HD,MA
86,HD,POOL
87,HUM,MSFT
88,HUM,MCO
89,HUM,ROK
90,IDXX,INTU
91,INTU,LH
92,INTU,NSC
93,INTU,PH
94,INTU,TSLA
95,INTU,URI
96,ISRG,LIN
97,ISRG,POOL
98,ISRG,SHW
99,ISRG,TSLA
100,ISRG,TMO
101,KLAC,ZBRA
102,LH,NSC
103,LH,PH
104,LH,SIVB
105,LH,URI
106,LH,ZBRA
107,LRCX,UNH
108,LRCX,ZBRA
109,LIN,MA
110,LIN,NSC
111,LIN,POOL
112,LIN,V
113,MLM,SYK
