,Stock1,Stock2
0,ABMD,ILMN
1,ACN,BLK
2,ACN,CMI
3,ACN,INTU
4,ACN,ISRG
5,ACN,LH
6,ACN,LIN
7,ACN,MA
8,ACN,WLTW
9,ADBE,APD
10,ADBE,CHTR
11,ADBE,HUM
12,ADBE,WST
13,APD,BIO
14,APD,DHR
15,APD,FB
16,APD,NFLX
17,APD,NVDA
18,APD,ROP
19,APD,CRM
20,ALGN,NSC
21,ALGN,URI
22,ALGN,ZBRA
23,AMT,AMGN
24,AMT,BA
25,AMT,DXCM
26,AMT,ESS
27,AMT,FLT
28,AMT,HUM
29,AMT,REGN
30,AMT,VRTX
31,AMGN,HUM
32,AMGN,MA
33,AMGN,MCO
34,ANSS,BIO
35,ANSS,CHTR
36,ANSS,ROK
37,ANSS,TMO
38,ANSS,TYL
39,ANTM,AON
40,ANTM,DE
41,ANTM,EL
42,ANTM,GS
43,ANTM,LH
44,ANTM,NSC
45,ANTM,SIVB
46,ANTM,URI
47,ANTM,WAT
48,ANTM,WLTW
49,AON,DE
50,AON,EL
51,AON,GS
52,AON,KLAC
53,AON,LH
54,AON,LRCX
55,AON,NSC
56,AON,PH
57,AON,SIVB
58,AON,TDY
59,AON,TDG
60,AON,URI
61,AON,V
62,AON,WAT
63,AON,ZBRA
64,ANET,STZ
65,ANET,WAT
66,ADSK,ROK
67,ADSK,SNPS
68,ADSK,TMO
69,ADSK,UNH
70,BDX,BIO
71,BDX,BIIB
72,BDX,BLK
73,BDX,BA
74,BDX,AVGO
75,BDX,CHTR
76,BDX,CI
77,BDX,CTAS
78,BDX,STZ
79,BDX,COO
80,BDX,COST
81,BDX,CMI
82,BDX,DHR
83,BDX,DE
84,BDX,DXCM
85,BDX,DPZ
86,BDX,ECL
87,BDX,EQIX
88,BDX,ESS
89,BDX,EL
90,BDX,RE
91,BDX,FB
92,BDX,FDX
93,BDX,FLT
94,BDX,GS
95,BDX,GWW
96,BDX,HD
97,BDX,HUM
98,BDX,HII
99,BDX,IDXX
100,BDX,ILMN
101,BDX,INTU
102,BDX,ISRG
103,BDX,KLAC
104,BDX,LHX
105,BDX,LH
106,BDX,LRCX
107,BDX,LIN
108,BDX,LMT
109,BDX,MKTX
110,BDX,MLM
111,BDX,MA
112,BDX,MCD
113,BDX,MSFT
114,BDX,MPWR
115,BDX,MCO
116,BDX,MSCI
117,BDX,NFLX
118,BDX,NSC
119,BDX,NOC
120,BDX,NVDA
121,BDX,ORLY
122,BDX,PH
123,BDX,PAYC
124,BDX,POOL
125,BDX,PSA
126,BDX,REGN
127,BDX,ROK
128,BDX,ROP
129,BDX,SPGI
130,BDX,CRM
131,BDX,SBAC
132,BDX,NOW
133,BDX,SHW
134,BDX,SYK
135,BDX,SIVB
136,BDX,SNPS
137,BDX,TDY
138,BDX,TFX
139,BDX,TSLA
140,BDX,TMO
141,BDX,TDG
142,BDX,TYL
143,BDX,ULTA
144,BDX,UNH
145,BDX,URI
146,BDX,VRSN
147,BDX,VRTX
148,BDX,V
149,BDX,WAT
150,BDX,WST
151,BDX,ZBRA
152,BIO,CHTR
153,BIO,COST
154,BIO,FB
155,BIO,MSFT
156,BIO,MPWR
157,BIO,NVDA
158,BIO,ROK
159,BIO,NOW
160,BIO,SNPS
